id;address;black_logo;country;cross_street;currency_code;external_venue_id;full_dining_backend;grid_enabled;venud_id;internal_name;membership_enabled;name;neighborhood;phone_number;policy;postal_code;primary_color;secondary_color;state;unique_confirmation_prefix;venue_class;venue_group_id;venue_group_name;venue_url_key;website;white_logo
1;luminous regarding yippee;mostly following stylish;Virgin Islands, British;pun;ISK;devoice apprehensive;true;true;hyena;on;false;as;hourly;unless whereas whoever;left reproachfully yoyo;berth;portrait energetically ouch;throughout courteous;yuck;sternly inquisitively;enterprise;afterwards fast;accommodation until;situate;unaware ick;clean mysterious sally
2;plus luxurious decline;jumpy carelessly;Gambia;pish;BWP;action or mortally;true;true;hmph;repeatedly as;true;oddly;extremely;gah ah;miserable past furthermore;adventurously ouch;hard pish boldly;menopause anenst;emery bottom;gong athwart;across veto;psst revisit stride;plate;whose weak after;nervously whereas mmm;reflecting mid declaim
3;outside before nimble;hood;Denmark;finally lazily compose;CHF;cleverly during worriedly;true;true;astride yuck although;violent;false;while filibuster spiff;unruly as;or slippery;wretched wowee;phooey till;conscript;fooey semiconductor advanced;pervert mostly parlay;which upbeat;yahoo neat defiant;geez supposing;lengthen lamb geez;oh whoever;beyond officially gah;brace
4;dilution ugh;photographer;Tajikistan;um;MWK;similar;false;false;geez yieldingly excited;lest;true;underground unless supposing;barring title;blah old-fashioned though;vaguely;determine once;purse keenly chastise;provided internalise;massive crewmember apud;woefully lest bubbly;centralise now strict;since;toward;ah;sub look;plus wetly
5;reckless aw;down suspect;South Africa;oh avow;AWG;via because exit;false;true;mid continually;behind;true;webbed testy;with swiftly;near not unbalance;yet fake;flawless bah;heir after over;lightly despite;underexpose;sans springboard anti;fascia;garrotte against yuck;yahoo;while;localize deeply;gee
6;sprint lest;yell;Micronesia;prepone;ANG;so chapter total;true;true;mint after past;defenseless essential;false;deliberately;tenderly psst slander;finalise;quickly buttery pro;embellished passive;buying beneath yahoo;when;ouch whose yum;delirious oh;qua verdict;bravely;towards;than;in depressurize;ugh criteria
7;cooked;runny;Bermuda;than extemporize;KHR;buttery deep mean;true;true;that score fast;shoelace unwelcome in;true;loudly fairly;but;actuate;visualize scrap;swath;whose;inhabit after afore;while antique;or fruit fume;simplicity;violently cria license;dispel centralize through;mundane;oh inasmuch;chance eavesdrop
8;since oof remark;outside since why;New Caledonia;sentencing sans educated;TZS;incentivize uh-huh enrapture;true;true;what;striped as;false;um;wherever;brisk defraud trick;lest;even gallivant;deficient irritably;metabolise soccer goodness;although reciprocity;modulo;laugh denote;what owlishly blah;glistening blow;oof lest;afore;uh-huh on
9;yippee on;bisect;Croatia;upon eek focused;KYD;kissingly jailhouse;true;true;below;arrogantly firsthand philosophise;false;lively ouch alongside;supposing orange vice;er however;outflank aw;aside being even;boo shallow psst;but up exclaim;certainly time;accept;muzzle;bah knottily needy;liquid uh-huh;jostle carefully ideal;intestine;daily zowie hence
10;average;zany;Tuvalu;fishbone generally;AZN;harangue;true;true;aha deceivingly federate;far;true;in what primary;lurk fooey;violently;separately;consequently considering;belong neatly order;bah;afore flaunt;major;jolly;plant;save whirring;zowie;enthusiastically;admired
